centre,video_id,url,title,channel,published,duration_s,views,test_class,transcript,n_streets,n_turns,streets_found,traceable,flags
walkley,LGe032SfBPE,https://youtube.com/watch?v=LGe032SfBPE,Ottawa walkley driving test. G2checklist.,Anne Bihamba,2024-03-14,694,110,G,none,1,0,walkley,,
walkley,UXu_E-NvxLI,https://youtube.com/watch?v=UXu_E-NvxLI,Walkley Drive Test Centre - One and Done!  North American Students nail drive test first shot!,North American Transport Driving Academy,2024-03-20,32,387,unknown,none,1,0,walkley,,SHORT CLASS?
walkley,F9HaQbXsGsk,https://youtube.com/watch?v=F9HaQbXsGsk,Ottawa Walkley DriveTest Routes路考路线图,陆教练🚘YesYouDS🏂,2024-07-20,26,226,unknown,none,1,0,walkley,,SHORT CLASS?
walkley,fEzRtdSFMjQ,https://youtube.com/watch?v=fEzRtdSFMjQ,Ottawa DriveTest Center (1570 Walkley Rd) is very busy in summer. Book test online! Link in Desc.,Immersive Tour - iCherry,2024-07-24,72,118,unknown,none,1,0,walkley,,SHORT CLASS?
walkley,WYbuJJY1vVg,https://youtube.com/watch?v=WYbuJJY1vVg,Drive test ✍️ Knowledge test or G2 and G#canadavlog #ottawavlog #driving #driver #drivingfails #vlog,Manish Canadian🇨🇦 ,2024-12-11,15,177,G,none,1,0,walkley,,SHORT
walkley,-s_JxxfFk5k,https://youtube.com/watch?v=-s_JxxfFk5k,加拿大驾照路考模拟 Walkley G Road Test 2全网唯一天津话解说版 （路线2）,张嘴就来,2024-04-25,1365,2023,G,none,1,0,walkley,,
walkley,60Vc64FWQq8,https://youtube.com/watch?v=60Vc64FWQq8,🚗 G1 Test Passed in First Attempt | Test and SIN Experience | Direct Eligible for G licence,Shrey Patel,2022-09-17,661,925,G,none,1,0,walkley,,
walkley,x5WKu4_IWb8,https://youtube.com/watch?v=x5WKu4_IWb8,أهم خطواتك الأولى في كندا… لا تفعل شيئًا قبلها!,Canada Trends كندا ترندز ,2025-05-16,598,704,unknown,none,1,0,walkley,,CLASS?
walkley,lKKn4VSwIaM,https://youtube.com/watch?v=lKKn4VSwIaM,Parallel Parking #parallelparking #drivingtips #howtoparallelpark #parallelparkingtips #drivingtest,Sky Driving School Ltd.,2024-02-02,60,2183489,G,auto,0,24,,,SHORT
walkley,kryW5O0Ck50,https://youtube.com/watch?v=kryW5O0Ck50,Parallel Parking Lesson | parallel parking tutorial: 4 steps,Key2DLHINDI,2024-03-16,60,1971977,G,auto,0,23,,,SHORT
